t_s	opening_displacement_mm
0.0000370658	0.0206724772
0.0000372886	0.0209247898
0.0000375114	0.0211785652
0.0000377342	0.0214338116
0.0000379570	0.0216905289
0.0000381798	0.0219487118
0.0000384025	0.0222083551
0.0000386253	0.0224694534
0.0000388481	0.0227320014
0.0000390709	0.0229959938
0.0000392937	0.0232614254
0.0000395165	0.0235282907
0.0000397393	0.0237965845
0.0000399620	0.0240663015
0.0000401848	0.0243374363
0.0000404076	0.0246099837
0.0000406304	0.0248839383
0.0000408532	0.0251592949
0.0000410760	0.0254360480
0.0000412988	0.0257141925
0.0000415216	0.0259937230
0.0000417443	0.0262746342
0.0000419671	0.0265569207
0.0000421899	0.0268405774
0.0000424127	0.0271255987
0.0000426355	0.0274119796
0.0000428583	0.0276997146
0.0000430811	0.0279887984
0.0000433038	0.0282792257
0.0000435266	0.0285709913
0.0000437494	0.0288640897
0.0000439722	0.0291585157
0.0000441950	0.0294542641
0.0000444178	0.0297513294
0.0000446406	0.0300497063
0.0000448633	0.0303493896
0.0000450861	0.0306503740
0.0000453089	0.0309526541
0.0000455317	0.0312562246
0.0000457545	0.0315610802
0.0000459773	0.0318672156
0.0000462001	0.0321746255
0.0000464229	0.0324833046
0.0000466456	0.0327932476
0.0000468684	0.0331044491
0.0000470912	0.0334169039
0.0000473140	0.0337306066
0.0000475368	0.0340455520
0.0000477596	0.0343617347
0.0000479824	0.0346791494
0.0000482051	0.0349977908
0.0000484279	0.0353176535
0.0000486507	0.0356387324
0.0000488735	0.0359610221
0.0000490963	0.0362845172
0.0000493191	0.0366092125
0.0000495419	0.0369351026
0.0000497646	0.0372621822
0.0000499874	0.0375904461
0.0000502102	0.0379198889
0.0000504330	0.0382505053
0.0000506558	0.0385822900
0.0000508786	0.0389152377
0.0000511014	0.0392493430
0.0000513242	0.0395846007
0.0000515469	0.0399210055
0.0000517697	0.0402585520
0.0000519925	0.0405972349
0.0000522153	0.0409370490
0.0000524381	0.0412779889
0.0000526609	0.0416200493
0.0000528837	0.0419632249
0.0000531064	0.0423075104
0.0000533292	0.0426529004
0.0000535520	0.0429993897
0.0000537748	0.0433469730
0.0000539976	0.0436956449
0.0000542204	0.0440454002
0.0000544432	0.0443962335
0.0000546659	0.0447481395
0.0000548887	0.0451011129
0.0000551115	0.0454551484
0.0000553343	0.0458102407
0.0000555571	0.0461663844
0.0000557799	0.0465235744
0.0000560027	0.0468818052
0.0000562255	0.0472410715
0.0000564482	0.0476013681
0.0000566710	0.0479626896
0.0000568938	0.0483250307
0.0000571166	0.0486883861
0.0000573394	0.0490527506
0.0000575622	0.0494181187
0.0000577850	0.0497844852
0.0000580077	0.0501518447
0.0000582305	0.0505201920
0.0000584533	0.0508895218
0.0000586761	0.0512598287
0.0000588989	0.0516311074
0.0000591217	0.0520033527
0.0000593445	0.0523765592
0.0000595672	0.0527507215
0.0000597900	0.0531258345
0.0000600128	0.0535018927
0.0000602356	0.0538788909
0.0000604584	0.0542568270
0.0000606812	0.0546357167
0.0000609040	0.0550155820
0.0000611268	0.0553964450
0.0000613495	0.0557783275
0.0000615723	0.0561612517
0.0000617951	0.0565452393
0.0000620179	0.0569303125
0.0000622407	0.0573164933
0.0000624635	0.0577038035
0.0000626863	0.0580922651
0.0000629090	0.0584819002
0.0000631318	0.0588727308
0.0000633546	0.0592647787
0.0000635774	0.0596580661
0.0000638002	0.0600526148
0.0000640230	0.0604484468
0.0000642458	0.0608455842
0.0000644685	0.0612440489
0.0000646913	0.0616438629
0.0000649141	0.0620450481
0.0000651369	0.0624476266
0.0000653597	0.0628516203
0.0000655825	0.0632570512
0.0000658053	0.0636639413
0.0000660281	0.0640723126
0.0000662508	0.0644821870
0.0000664736	0.0648935865
0.0000666964	0.0653065331
0.0000669192	0.0657210489
0.0000671420	0.0661371556
0.0000673648	0.0665548754
0.0000675876	0.0669742303
0.0000678103	0.0673952421
0.0000680331	0.0678179330
0.0000682559	0.0682423247
0.0000684787	0.0686684395
0.0000687015	0.0690962991
0.0000689243	0.0695259257
0.0000691471	0.0699573411
0.0000693698	0.0703905674
0.0000695926	0.0708256265
0.0000698154	0.0712625405
0.0000700382	0.0717013312
0.0000702610	0.0721420207
0.0000704838	0.0725846310
0.0000707066	0.0730291840
0.0000709294	0.0734757018
0.0000711521	0.0739242062
0.0000713749	0.0743747193
0.0000715977	0.0748272631
0.0000718205	0.0752818595
0.0000720433	0.0757385305
0.0000722661	0.0761972982
0.0000724889	0.0766581844
0.0000727116	0.0771212111
0.0000729344	0.0775864004
0.0000731572	0.0780537742
0.0000733800	0.0785233545
0.0000736028	0.0789951633
0.0000738256	0.0794692225
0.0000740484	0.0799455542
0.0000742712	0.0804241802
0.0000744939	0.0809051227
0.0000747167	0.0813884036
0.0000749395	0.0818740447
0.0000751623	0.0823620683
0.0000753851	0.0828524961
0.0000756079	0.0833453502
0.0000758307	0.0838406526
0.0000760534	0.0843384253
0.0000762762	0.0848386902
0.0000764990	0.0853414693
0.0000767218	0.0858467846
0.0000769446	0.0863546580
0.0000771674	0.0868651116
0.0000773902	0.0873781674
0.0000776129	0.0878938472
0.0000778357	0.0884121731
0.0000780585	0.0889331672
0.0000782813	0.0894568512
0.0000785041	0.0899832473
0.0000787269	0.0905123774
0.0000789497	0.0910442635
0.0000791725	0.0915789275
0.0000793952	0.0921163915
0.0000796180	0.0926566774
0.0000798408	0.0931998072
0.0000800636	0.0937458029
0.0000802864	0.0942946865
0.0000805092	0.0948464799
0.0000807320	0.0954012052
0.0000809547	0.0959588803
0.0000811775	0.0965194752
0.0000814003	0.0970829271
0.0000816231	0.0976491726
0.0000818459	0.0982181485
0.0000820687	0.0987897912
0.0000822915	0.0993640376
0.0000825142	0.0999408242
0.0000827370	0.1005200877
0.0000829598	0.1011017647
0.0000831826	0.1016857920
0.0000834054	0.1022721060
0.0000836282	0.1028606436
0.0000838510	0.1034513413
0.0000840738	0.1040441358
0.0000842965	0.1046389637
0.0000845193	0.1052357617
0.0000847421	0.1058344665
0.0000849649	0.1064350146
0.0000851877	0.1070373428
0.0000854105	0.1076413877
0.0000856333	0.1082470859
0.0000858560	0.1088543741
0.0000860788	0.1094631889
0.0000863016	0.1100734670
0.0000865244	0.1106851450
0.0000867472	0.1112981596
0.0000869700	0.1119124475
0.0000871928	0.1125279452
0.0000874155	0.1131445894
0.0000876383	0.1137623169
0.0000878611	0.1143810641
0.0000880839	0.1150007679
0.0000883067	0.1156213648
0.0000885295	0.1162427914
0.0000887523	0.1168649845
0.0000889751	0.1174878806
0.0000891978	0.1181114165
0.0000894206	0.1187355288
0.0000896434	0.1193601540
0.0000898662	0.1199852290
0.0000900890	0.1206106903
0.0000903118	0.1212364745
0.0000905346	0.1218625184
0.0000907573	0.1224887585
0.0000909801	0.1231151316
0.0000912029	0.1237415742
0.0000914257	0.1243680231
0.0000916485	0.1249944148
0.0000918713	0.1256206860
0.0000920941	0.1262467734
0.0000923168	0.1268726137
0.0000925396	0.1274981434
0.0000927624	0.1281232992
0.0000929852	0.1287480178
0.0000932080	0.1293722357
0.0000934308	0.1299958898
0.0000936536	0.1306189166
0.0000938764	0.1312412527
0.0000940991	0.1318628348
0.0000943219	0.1324835997
0.0000945447	0.1331034838
0.0000947675	0.1337224239
0.0000949903	0.1343403565
0.0000952131	0.1349572185
0.0000954359	0.1355729464
0.0000956586	0.1361874768
0.0000958814	0.1368007464
0.0000961042	0.1374126919
0.0000963270	0.1380232499
0.0000965498	0.1386323570
0.0000967726	0.1392399500
0.0000969954	0.1398459654
0.0000972181	0.1404503399
0.0000974409	0.1410530102
0.0000976637	0.1416539129
0.0000978865	0.1422529846
0.0000981093	0.1428501620
0.0000983321	0.1434453818
0.0000985549	0.1440385806
0.0000987777	0.1446296950
0.0000990004	0.1452186617
0.0000992232	0.1458054174
0.0000994460	0.1463898987
0.0000996688	0.1469720422
0.0000998916	0.1475517847
0.0001001144	0.1481290626
0.0001003372	0.1487038128
0.0001005599	0.1492759718
0.0001007827	0.1498454844
0.0001010055	0.1504123696
0.0001012283	0.1509766872
0.0001014511	0.1515384973
0.0001016739	0.1520978599
0.0001018967	0.1526548351
0.0001021194	0.1532094831
0.0001023422	0.1537618638
0.0001025650	0.1543120374
0.0001027878	0.1548600639
0.0001030106	0.1554060034
0.0001032334	0.1559499160
0.0001034562	0.1564918618
0.0001036790	0.1570319008
0.0001039017	0.1575700932
0.0001041245	0.1581064990
0.0001043473	0.1586411782
0.0001045701	0.1591741911
0.0001047929	0.1597055976
0.0001050157	0.1602354578
0.0001052385	0.1607638318
0.0001054612	0.1612907797
0.0001056840	0.1618163616
0.0001059068	0.1623406375
0.0001061296	0.1628636675
0.0001063524	0.1633855118
0.0001065752	0.1639062303
0.0001067980	0.1644258832
0.0001070208	0.1649445305
0.0001072435	0.1654622323
0.0001074663	0.1659790487
0.0001076891	0.1664950399
0.0001079119	0.1670102657
0.0001081347	0.1675247864
0.0001083575	0.1680386620
0.0001085803	0.1685519526
0.0001088030	0.1690647183
0.0001090258	0.1695770192
0.0001092486	0.1700889152
0.0001094714	0.1706004666
0.0001096942	0.1711117334
0.0001099170	0.1716227756
0.0001101398	0.1721336534
0.0001103625	0.1726444268
0.0001105853	0.1731551559
0.0001108081	0.1736659008
0.0001110309	0.1741767215
0.0001112537	0.1746876782
0.0001114765	0.1751988309
0.0001116993	0.1757102398
0.0001119221	0.1762219648
0.0001121448	0.1767340660
0.0001123676	0.1772466036
0.0001125904	0.1777596377
0.0001128132	0.1782732282
0.0001130360	0.1787874353
0.0001132588	0.1793023190
0.0001134816	0.1798179395
0.0001137043	0.1803343568
0.0001139271	0.1808516310
0.0001141499	0.1813698221
0.0001143727	0.1818889903
0.0001145955	0.1824091957
0.0001148183	0.1829304982
0.0001150411	0.1834529581
0.0001152638	0.1839766353
0.0001154866	0.1845015899
0.0001157094	0.1850278821
0.0001159322	0.1855555719
0.0001161550	0.1860847193
0.0001163778	0.1866153846
0.0001166006	0.1871476276
0.0001168234	0.1876815086
0.0001170461	0.1882170876
0.0001172689	0.1887544247
0.0001174917	0.1892935799
0.0001177145	0.1898346134
0.0001179373	0.1903775852
0.0001181601	0.1909225553
0.0001183829	0.1914695840
0.0001186056	0.1920187312
0.0001188284	0.1925700571
0.0001190512	0.1931236216
0.0001192740	0.1936794850
0.0001194968	0.1942377072
0.0001197196	0.1947983483
0.0001199424	0.1953614685
0.0001201651	0.1959271278
0.0001203879	0.1964953863
0.0001206107	0.1970663041
0.0001208335	0.1976399412
0.0001210563	0.1982163577
0.0001212791	0.1987956138
0.0001215019	0.1993777694
0.0001217247	0.1999628847
0.0001219474	0.2005510197
0.0001221702	0.2011422345
0.0001223930	0.2017365893
0.0001226158	0.2023341440
0.0001228386	0.2029349588
0.0001230614	0.2035390937
0.0001232842	0.2041466088
0.0001235069	0.2047575643
0.0001237297	0.2053720201
0.0001239525	0.2059900363
0.0001241753	0.2066116731
0.0001243981	0.2072369905
0.0001246209	0.2078660486
0.0001248437	0.2084989075
0.0001250664	0.2091356272
0.0001252892	0.2097762678
0.0001255120	0.2104208895
0.0001257348	0.2110695522
0.0001259576	0.2117223161
0.0001261804	0.2123792413
0.0001264032	0.2130403877
0.0001266260	0.2137058156
0.0001268487	0.2143755850
0.0001270715	0.2150497559
0.0001272943	0.2157283884
0.0001275171	0.2164115427
0.0001277399	0.2170992593
0.0001279627	0.2177915079
0.0001281855	0.2184882421
0.0001284082	0.2191894157
0.0001286310	0.2198949820
0.0001288538	0.2206048949
0.0001290766	0.2213191079
0.0001292994	0.2220375746
0.0001295222	0.2227602487
0.0001297450	0.2234870837
0.0001299677	0.2242180333
0.0001301905	0.2249530511
0.0001304133	0.2256920907
0.0001306361	0.2264351057
0.0001308589	0.2271820498
0.0001310817	0.2279328766
0.0001313045	0.2286875396
0.0001315273	0.2294459925
0.0001317500	0.2302081890
0.0001319728	0.2309740826
0.0001321956	0.2317436269
0.0001324184	0.2325167756
0.0001326412	0.2332934823
0.0001328640	0.2340737006
0.0001330868	0.2348573841
0.0001333095	0.2356444864
0.0001335323	0.2364349612
0.0001337551	0.2372287621
0.0001339779	0.2380258427
0.0001342007	0.2388261565
0.0001344235	0.2396296573
0.0001346463	0.2404362986
0.0001348690	0.2412460341
0.0001350918	0.2420588174
0.0001353146	0.2428746020
0.0001355374	0.2436933417
0.0001357602	0.2445149900
0.0001359830	0.2453395005
0.0001362058	0.2461668269
0.0001364286	0.2469969228
0.0001366513	0.2478297417
0.0001368741	0.2486652374
0.0001370969	0.2495033634
0.0001373197	0.2503440734
0.0001375425	0.2511873209
0.0001377653	0.2520330596
0.0001379881	0.2528812430
0.0001382108	0.2537318250
0.0001384336	0.2545847589
0.0001386564	0.2554399985
0.0001388792	0.2562974973
0.0001391020	0.2571572091
0.0001393248	0.2580190873
0.0001395476	0.2588830857
0.0001397704	0.2597491578
0.0001399931	0.2606172572
0.0001402159	0.2614873376
0.0001404387	0.2623593526
0.0001406615	0.2632332559
0.0001408843	0.2641090009
0.0001411071	0.2649865414
0.0001413299	0.2658658309
0.0001415526	0.2667468231
0.0001417754	0.2676294716
0.0001419982	0.2685137300
0.0001422210	0.2693995519
0.0001424438	0.2702868910
0.0001426666	0.2711757008
0.0001428894	0.2720659350
0.0001431121	0.2729575472
0.0001433349	0.2738504910
0.0001435577	0.2747447200
0.0001437805	0.2756401879
0.0001440033	0.2765368482
0.0001442261	0.2774346546
0.0001444489	0.2783335608
0.0001446717	0.2792335202
0.0001448944	0.2801344866
0.0001451172	0.2810364135
0.0001453400	0.2819392545
0.0001455628	0.2828429634
0.0001457856	0.2837474937
0.0001460084	0.2846527989
0.0001462312	0.2855588328
0.0001464539	0.2864655490
0.0001466767	0.2873729010
0.0001468995	0.2882808425
0.0001471223	0.2891893272
0.0001473451	0.2900983085
0.0001475679	0.2910077402
0.0001477907	0.2919175758
0.0001480134	0.2928277690
0.0001482362	0.2937382734
0.0001484590	0.2946490426
0.0001486818	0.2955600302
0.0001489046	0.2964711919
0.0001491274	0.2973825009
0.0001493502	0.2982939403
0.0001495730	0.2992054930
0.0001497957	0.3001171419
0.0001500185	0.3010288700
0.0001502413	0.3019406604
0.0001504641	0.3028524959
0.0001506869	0.3037643595
0.0001509097	0.3046762342
0.0001511325	0.3055881031
0.0001513552	0.3064999489
0.0001515780	0.3074117548
0.0001518008	0.3083235036
0.0001520236	0.3092351784
0.0001522464	0.3101467622
0.0001524692	0.3110582378
0.0001526920	0.3119695883
0.0001529147	0.3128807966
0.0001531375	0.3137918458
0.0001533603	0.3147027187
0.0001535831	0.3156133983
0.0001538059	0.3165238677
0.0001540287	0.3174341097
0.0001542515	0.3183441074
0.0001544743	0.3192538438
0.0001546970	0.3201633017
0.0001549198	0.3210724642
0.0001551426	0.3219813142
0.0001553654	0.3228898348
0.0001555882	0.3237980088
0.0001558110	0.3247058192
0.0001560338	0.3256132491
0.0001562565	0.3265202814
0.0001564793	0.3274268990
0.0001567021	0.3283330849
0.0001569249	0.3292388221
0.0001571477	0.3301440936
0.0001573705	0.3310488824
0.0001575933	0.3319531713
0.0001578160	0.3328569435
0.0001580388	0.3337601817
0.0001582616	0.3346628691
0.0001584844	0.3355649886
0.0001587072	0.3364665231
0.0001589300	0.3373674556
0.0001591528	0.3382677692
0.0001593756	0.3391674467
0.0001595983	0.3400664712
0.0001598211	0.3409648255
0.0001600439	0.3418624928
0.0001602667	0.3427594559
0.0001604895	0.3436556978
0.0001607123	0.3445512014
0.0001609351	0.3454459499
0.0001611578	0.3463399261
0.0001613806	0.3472331129
0.0001616034	0.3481254935
0.0001618262	0.3490170506
0.0001620490	0.3499077674
0.0001622718	0.3507976268
0.0001624946	0.3516866117
0.0001627173	0.3525747051
0.0001629401	0.3534618900
0.0001631629	0.3543481494
0.0001633857	0.3552334662
0.0001636085	0.3561178234
0.0001638313	0.3570012040
0.0001640541	0.3578835909
0.0001642769	0.3587649671
0.0001644996	0.3596453156
0.0001647224	0.3605246193
0.0001649452	0.3614028613
0.0001651680	0.3622800244
0.0001653908	0.3631560917
0.0001656136	0.3640310462
0.0001658364	0.3649048707
0.0001660591	0.3657775483
0.0001662819	0.3666490620
0.0001665047	0.3675193946
0.0001667275	0.3683885292
0.0001669503	0.3692564488
0.0001671731	0.3701231363
0.0001673959	0.3709885747
0.0001676186	0.3718527470
0.0001678414	0.3727156360
0.0001680642	0.3735772249
0.0001682870	0.3744374966
0.0001685098	0.3752964339
0.0001687326	0.3761540200
0.0001689554	0.3770102378
0.0001691782	0.3778650702
0.0001694009	0.3787185003
0.0001696237	0.3795705109
0.0001698465	0.3804210851
0.0001700693	0.3812702059
0.0001702921	0.3821178561
0.0001705149	0.3829640188
0.0001707377	0.3838086769
0.0001709604	0.3846518135
0.0001711832	0.3854934114
0.0001714060	0.3863334537
0.0001716288	0.3871719367
0.0001718516	0.3880088899
0.0001720744	0.3888443479
0.0001722972	0.3896783450
0.0001725199	0.3905109159
0.0001727427	0.3913420950
0.0001729655	0.3921719170
0.0001731883	0.3930004163
0.0001734111	0.3938276274
0.0001736339	0.3946535848
0.0001738567	0.3954783232
0.0001740795	0.3963018770
0.0001743022	0.3971242807
0.0001745250	0.3979455688
0.0001747478	0.3987657760
0.0001749706	0.3995849366
0.0001751934	0.4004030853
0.0001754162	0.4012202565
0.0001756390	0.4020364847
0.0001758617	0.4028518046
0.0001760845	0.4036662506
0.0001763073	0.4044798573
0.0001765301	0.4052926591
0.0001767529	0.4061046905
0.0001769757	0.4069159862
0.0001771985	0.4077265807
0.0001774213	0.4085365084
0.0001776440	0.4093458038
0.0001778668	0.4101545016
0.0001780896	0.4109626362
0.0001783124	0.4117702421
0.0001785352	0.4125773540
0.0001787580	0.4133840062
0.0001789808	0.4141902333
0.0001792035	0.4149960699
0.0001794263	0.4158015504
0.0001796491	0.4166067094
0.0001798719	0.4174115815
0.0001800947	0.4182162011
0.0001803175	0.4190206027
0.0001805403	0.4198248209
0.0001807630	0.4206288902
0.0001809858	0.4214328451
0.0001812086	0.4222367202
0.0001814314	0.4230405500
0.0001816542	0.4238443690
0.0001818770	0.4246482116
0.0001820998	0.4254521126
0.0001823226	0.4262561062
0.0001825453	0.4270602272
0.0001827681	0.4278645100
0.0001829909	0.4286689891
0.0001832137	0.4294736991
0.0001834365	0.4302786744
0.0001836593	0.4310839497
0.0001838821	0.4318895594
0.0001841048	0.4326955380
0.0001843276	0.4335019202
0.0001845504	0.4343087403
0.0001847732	0.4351160329
0.0001849960	0.4359238326
0.0001852188	0.4367321738
0.0001854416	0.4375410911
0.0001856643	0.4383506191
0.0001858871	0.4391607922
0.0001861099	0.4399716449
0.0001863327	0.4407832118
0.0001865555	0.4415955274
0.0001867783	0.4424086263
0.0001870011	0.4432225429
0.0001872239	0.4440373117
0.0001874466	0.4448529674
0.0001876694	0.4456695444
0.0001878922	0.4464870772
0.0001881150	0.4473056004
0.0001883378	0.4481251485
0.0001885606	0.4489457560
0.0001887834	0.4497674575
0.0001890061	0.4505902874
0.0001892289	0.4514142803
0.0001894517	0.4522394707
0.0001896745	0.4530658931
0.0001898973	0.4538935820
0.0001901201	0.4547225721
0.0001903429	0.4555528977
0.0001905656	0.4563845935
0.0001907884	0.4572176939
0.0001910112	0.4580522335
0.0001912340	0.4588882467
0.0001914568	0.4597257682
0.0001916796	0.4605648324
0.0001919024	0.4614054739
0.0001921252	0.4622477271
0.0001923479	0.4630916267
0.0001925707	0.4639372071
0.0001927935	0.4647845028
0.0001930163	0.4656335485
0.0001932391	0.4664843785
0.0001934619	0.4673370274
0.0001936847	0.4681915298
0.0001939074	0.4690479202
0.0001941302	0.4699062330
0.0001943530	0.4707665029
0.0001945758	0.4716287643
0.0001947986	0.4724930517
0.0001950214	0.4733593998
0.0001952442	0.4742278429
0.0001954669	0.4750984157
0.0001956897	0.4759711526
0.0001959125	0.4768460882
0.0001961353	0.4777232570
0.0001963581	0.4786026935
0.0001965809	0.4794844323
0.0001968037	0.4803685079
0.0001970265	0.4812549547
0.0001972492	0.4821438073
0.0001974720	0.4830351003
0.0001976948	0.4839288682
0.0001979176	0.4848251454
0.0001981404	0.4857239665
0.0001983632	0.4866253651
0.0001985860	0.4875293571
0.0001988087	0.4884359431
0.0001990315	0.4893451232
0.0001992543	0.4902568974
0.0001994771	0.4911712659
0.0001996999	0.4920882286
0.0001999227	0.4930077858
0.0002001455	0.4939299375
0.0002003682	0.4948546837
0.0002005910	0.4957820246
0.0002008138	0.4967119602
0.0002010366	0.4976444906
0.0002012594	0.4985796158
0.0002014822	0.4995173361
0.0002017050	0.5004576514
0.0002019278	0.5014005618
0.0002021505	0.5023460675
0.0002023733	0.5032941684
0.0002025961	0.5042448648
0.0002028189	0.5051981565
0.0002030417	0.5061540439
0.0002032645	0.5071125268
0.0002034873	0.5080736054
0.0002037100	0.5090372799
0.0002039328	0.5100035502
0.0002041556	0.5109724164
0.0002043784	0.5119438787
0.0002046012	0.5129179370
0.0002048240	0.5138945916
0.0002050468	0.5148738424
0.0002052695	0.5158556896
0.0002054923	0.5168401332
0.0002057151	0.5178271734
0.0002059379	0.5188168101
0.0002061607	0.5198090435
0.0002063835	0.5208038737
0.0002066063	0.5218013007
0.0002068291	0.5228013246
0.0002070518	0.5238039456
0.0002072746	0.5248091636
0.0002074974	0.5258169788
0.0002077202	0.5268273912
0.0002079430	0.5278404010
0.0002081658	0.5288560081
0.0002083886	0.5298742128
0.0002086113	0.5308950150
0.0002088341	0.5319184149
0.0002090569	0.5329444126
0.0002092797	0.5339730080
0.0002095025	0.5350042013
0.0002097253	0.5360379927
0.0002099481	0.5370743821
0.0002101709	0.5381133696
0.0002103936	0.5391549553
0.0002106164	0.5401991394
0.0002108392	0.5412459218
0.0002110620	0.5422953027
0.0002112848	0.5433472822
0.0002115076	0.5444018603
0.0002117304	0.5454590371
0.0002119531	0.5465188127
0.0002121759	0.5475811872
0.0002123987	0.5486461606
0.0002126215	0.5497137331
0.0002128443	0.5507839047
0.0002130671	0.5518566754
0.0002132899	0.5529320455
0.0002135126	0.5540100149
0.0002137354	0.5550905838
0.0002139582	0.5561737522
0.0002141810	0.5572595202
0.0002144038	0.5583478879
0.0002146266	0.5594388554
0.0002148494	0.5605324227
0.0002150722	0.5616285899
0.0002152949	0.5627273572
0.0002155177	0.5638287246
0.0002157405	0.5649326921
0.0002159633	0.5660392599
0.0002161861	0.5671484280
0.0002164089	0.5682601966
0.0002166317	0.5693745656
0.0002168544	0.5704915353
0.0002170772	0.5716111056
0.0002173000	0.5727332766
0.0002175228	0.5738580485
0.0002177456	0.5749854213
0.0002179684	0.5761153951
0.0002181912	0.5772479699
0.0002184139	0.5783831459
0.0002186367	0.5795209231
0.0002188595	0.5806613017
0.0002190823	0.5818042816
0.0002193051	0.5829498631
0.0002195279	0.5840980460
0.0002197507	0.5852488307
0.0002199735	0.5864022170
0.0002201962	0.5875582052
0.0002204190	0.5887167952
0.0002206418	0.5898779872
0.0002208646	0.5910417813
0.0002210874	0.5922081774
0.0002213102	0.5933771758
0.0002215330	0.5945487765
0.0002217557	0.5957229745
0.0002219785	0.5968997357
0.0002222013	0.5980790155
0.0002224241	0.5992607694
0.0002226469	0.6004449527
